
swi-prolog]# gits1
     47 1992
    103 1993
    116 1994
    164 1995
    133 1996
     99 1997
     40 1998
    286 1999
    810 2000
    848 2001
   1151 2002
    935 2003
    282 2004
   1103 2005
   1428 2006
   1396 2007
   1700 2008
   2033 2009
   1462 2010
   1866 2011
   1417 2012
   1484 2013
   1125 2014
    715 2015

